Date,Hour,Load,Temp,Day,Time
1,1,4.0625,26,Weekday,Night
1,2,4.4375,26,Weekday,Night
1,3,3.875,26,Weekday,Night
1,4,5.625,26,Weekday,Night
1,5,3.5,26,Weekday,Day
1,6,3.0625,26,Weekday,Day
1,7,1.375,24,Weekday,Day
1,8,1.875,26,Weekday,Day
1,9,-0.8125,26.9,Weekday,Day
1,10,-2.3125,27.7,Weekday,Day
1,11,-1.625,29.5,Weekday,Day
1,12,-2,30.3,Weekday,Day
1,13,0.375,30.3,Weekday,Day
1,14,2.9375,31.2,Weekday,Day
1,15,6.9375,31.2,Weekday,Day
1,16,9.625,31.2,Weekday,Day
1,17,10.125,31.2,Weekday,Day
1,18,9.75,30.3,Weekday,Night
1,19,10,28,Weekday,Night
1,20,4.9375,27.7,Weekday,Night
1,21,4,27.7,Weekday,Night
1,22,4.0625,26,Weekday,Night
1,23,4.375,26,Weekday,Night
1,24,4.0625,26,Weekday,Night
2,1,5.8125,26.7,Weekend,Night
2,2,3.875,26.7,Weekend,Night
2,3,3.9375,26.7,Weekend,Night
2,4,4,26.7,Weekend,Night
2,5,3.4375,26.7,Weekend,Day
2,6,4,26.7,Weekend,Day
2,7,2,26.7,Weekend,Day
2,8,1.3125,26.7,Weekend,Day
2,9,1.125,27.6,Weekend,Day
2,10,2.5625,28.5,Weekend,Day
2,11,0.375,30.3,Weekend,Day
2,12,-1.3125,31.2,Weekend,Day
2,13,0.625,31.2,Weekend,Day
2,14,3.3125,32.1,Weekend,Day
2,15,8.5625,32.1,Weekend,Day
2,16,13.3125,32.1,Weekend,Day
2,17,11.5625,32.1,Weekend,Day
2,18,8.5,31.2,Weekend,Night
2,19,7.3125,30.3,Weekend,Night
2,20,5.125,28.5,Weekend,Night
2,21,6.75,28.5,Weekend,Night
2,22,5.125,28.5,Weekend,Night
2,23,5.125,27.6,Weekend,Night
2,24,5.375,27.6,Weekend,Night
3,1,4.9375,27.2,Weekend,Night
3,2,4.5625,27.2,Weekend,Night
3,3,6.625,27.2,Weekend,Night
3,4,4.25,27.2,Weekend,Night
3,5,4.3125,27.2,Weekend,Day
3,6,4.0625,27.2,Weekend,Day
3,7,1.625,27.2,Weekend,Day
3,8,1.625,27.2,Weekend,Day
3,9,-1.25,28.1,Weekend,Day
3,10,-0.125,29,Weekend,Day
3,11,-0.125,30.8,Weekend,Day
3,12,-0.5625,31.7,Weekend,Day
3,13,-0.875,31.7,Weekend,Day
3,14,2.3125,32.6,Weekend,Day
3,15,5.5,32.6,Weekend,Day
3,16,9.125,32.6,Weekend,Day
3,17,9.875,32.6,Weekend,Day
3,18,9.25,31.7,Weekend,Night
3,19,9.75,30.8,Weekend,Night
3,20,5,29,Weekend,Night
3,21,4.75,29,Weekend,Night
3,22,4.875,29,Weekend,Night
3,23,5.125,28.1,Weekend,Night
3,24,4.8125,28.1,Weekend,Night
4,1,6.3125,28.4,Weekday,Night
4,2,4.625,28.4,Weekday,Night
4,3,4.5,28.4,Weekday,Night
4,4,6.125,28.4,Weekday,Night
4,5,6.625,28.4,Weekday,Day
4,6,19.125,28.4,Weekday,Day
4,7,21.75,28.4,Weekday,Day
4,8,29.25,28.4,Weekday,Day
4,9,40.125,29.4,Weekday,Day
4,10,41.1875,30.3,Weekday,Day
4,11,40.625,32.2,Weekday,Day
4,12,47.3125,33.1,Weekday,Day
4,13,50.1875,33.1,Weekday,Day
4,14,48.9375,34.1,Weekday,Day
4,15,44.125,34.1,Weekday,Day
4,16,33.875,34.1,Weekday,Day
4,17,22.25,34.1,Weekday,Day
4,18,12.625,33.1,Weekday,Night
4,19,8.375,32.2,Weekday,Night
4,20,6.625,30.3,Weekday,Night
4,21,7.1875,30.3,Weekday,Night
4,22,5.4375,30.3,Weekday,Night
4,23,5.4375,29.4,Weekday,Night
4,24,5.3125,29.4,Weekday,Night
5,1,5.3125,29,Weekday,Night
5,2,5.125,29,Weekday,Night
5,3,5.5625,29,Weekday,Night
5,4,4,29,Weekday,Night
5,5,4.6875,29,Weekday,Day
5,6,22.3125,29,Weekday,Day
5,7,38.3125,29,Weekday,Day
5,8,49.25,29,Weekday,Day
5,9,60.3125,29.9,Weekday,Day
5,10,66.75,30.9,Weekday,Day
5,11,65.625,32.8,Weekday,Day
5,12,61.0625,33.8,Weekday,Day
5,13,47.0625,33.8,Weekday,Day
5,14,32.8125,34.8,Weekday,Day
5,15,37.6875,34.8,Weekday,Day
5,16,31.625,34.8,Weekday,Day
5,17,27.75,34.8,Weekday,Day
5,18,10.5625,33.8,Weekday,Night
5,19,7.875,32.8,Weekday,Night
5,20,6.9375,30.9,Weekday,Night
